Title	Genre
Cherry Falls (2000)	'Horror', 'Mystery', 'Thriller'
Animals (2008)	'Horror', 'Thriller'
Dil To Pagal Hai (1997)	'Comedy', 'Drama'
12 Angry Men (1997)	'Crime', 'Drama'
Incendiary (2008)	'Drama', 'Romance', 'Thriller'
I rymden finns inga kÌ_nslor (2010)	'Comedy', 'Drama', 'Romance'
Tears of Steel (2012)	'Sci-Fi'
Eila (2003)	'Drama'
52 Tuesdays (2013)	'Drama', 'Family'
The Chicago 8 (2011)	'Drama'
Trial and Error (1997)	'Comedy', 'Romance'
Barrela: Escola de Crimes (1990)	'Drama'
My Louisiana Sky (2001)	'Drama'
Dirty Mind (2009)	'Action', 'Comedy'
Torrente 2: MisiÌ_n en Marbella (2001)	'Action', 'Comedy', 'Crime'
Exposed (2016)	'Crime', 'Drama', 'Mystery'
One Nine Nine Four (2009)	'Documentary'
Gummo (1997)	'Comedy', 'Drama'
Pontiac Moon (1994)	'Drama'
The Nomi Song (2004)	'Documentary', 'Biography'
Insidious: Chapter 3 (2015)	'Horror', 'Thriller'
Rodina (2015)	'Drama'
Gangster's Paradise: Jerusalema (2008)	'Action', 'Crime', 'Drama'
Tent City, U.S.A. (2012)	'Documentary'
Dear Zachary: A Letter to a Son About His Father (2008)	'Documentary', 'Crime', 'Drama'
Death in Love (2008)	'Drama', 'Romance'
Babymother (1998)	'Drama'
Jakeob-ui jeongseok (2005)	'Comedy', 'Romance'
Beings (1998)	'Adventure', 'Family', 'Fantasy'
Flipping Out (2007)	'Documentary'
Go for Sisters (2013)	'Crime', 'Drama', 'Thriller'
Love, etc. (1996)	'Comedy', 'Drama', 'Romance'
Love Hina Spring Special (2001)	'Animation', 'Comedy'
State of Play (2009)	'Crime', 'Drama', 'Mystery'
Stuart: A Life Backwards (2007)	'Drama'
Nick of Time (1995)	'Action', 'Crime', 'Drama'
Me Without You (2001)	'Drama'
I'll Sleep When I'm Dead (2016)	'Documentary'
Autopsy (2008)	'Horror', 'Mystery', 'Thriller'
Kurmanjan datka (2014)	'Action', 'Biography', 'Drama'
The Diary of a Teenage Girl (2015)	'Drama', 'Romance'
Haunted (1995)	'Drama', 'Horror'
The Bandit Hound (2016)	'Comedy'
Apflickorna (2011)	'Drama'
Thr3e (2006)	'Drama', 'Horror', 'Mystery'
Ask TesadÌ_fleri Sever (2011)	'Drama', 'Romance'
The Pallbearer (1996)	'Comedy', 'Romance'
Cosas insignificantes (2008)	'Drama'
The Women (2008)	'Comedy', 'Drama'
Gekijouban Psycho-Pass (2015)	'Animation', 'Action', 'Crime'
The Rage: Carrie 2 (1999)	'Horror', 'Sci-Fi', 'Thriller'
Bunraku (2010)	'Action', 'Drama', 'Fantasy'
I Went Down (1997)	'Action', 'Comedy', 'Crime'
Babysitting (2014)	'Comedy'
Search for the Beast (1997)	'Horror'
Friends with Kids (2011)	'Comedy', 'Drama', 'Romance'
Mythica: A Quest for Heroes (2014)	'Action', 'Adventure', 'Fantasy'
Back to the Jurassic (2015)	'Animation'
Tjenare kungen (2005)	'Comedy', 'Drama'
Dangerous Beauty (1998)	'Biography', 'Drama', 'Romance'
Transporter 2 (2005)	'Action', 'Crime', 'Thriller'
Day of the Dead (2008)	'Action', 'Horror', 'Thriller'
Henry Fool (1997)	'Comedy', 'Drama'
I Smile Back (2015)	'Drama'
Actress (2014)	'Documentary', 'Drama'
Raiders!: The Story of the Greatest Fan Film Ever Made (2015)	'Documentary', 'Adventure', 'Biography'
X: First Class (2011)	'Action', 'Adventure', 'Sci-Fi'
Rambo (2008)	'Action', 'Thriller'
Tom Sawyer (2000)	'Animation', 'Family'
Girl Rising (2013)	'Documentary', 'Drama'
Water's Edge (2003)	'Drama', 'Thriller'
American Dreams in China (2013)	'Drama'
Aleksandr's Price (2013)	'Drama'
Fugitive Pieces (2007)	'Adventure', 'Drama'
Poi E (2016)	'Documentary', 'Biography', 'Family'
Hoodwinked Too! Hood vs. Evil (2011)	'Animation', 'Action', 'Comedy'
The Fury of a Patient Man (2016)	'Drama', 'Thriller'
Lit feng chin che 2 gik chuk chuen suet (1999)	'Action', 'Thriller'
The Chí¢teau (2001)	'Comedy', 'Drama', 'Romance'
Iran Is Not the Problem (2008)	'Documentary'
Doragon bÌ«ru: SaikyÌ« e no michi (1996)	'Animation', 'Action', 'Adventure'
Deserter (2002)	'Drama'
Amber Alert (2012)	'Horror', 'Mystery', 'Thriller'
Prodigal Sons (2008)	'Documentary'
There Will Be Blood (2007)	'Drama'
Exam (2009)	'Mystery', 'Thriller'
Ice Spiders (2007)	'Horror'
'Tis the Season for Love (2015)	'Comedy', 'Romance'
Az Ì©jszakÌÁm a nappalod (2015)	'Comedy', 'Crime'
EnvoyÌ©s trÌ¬s spÌ©ciaux (2009)	'Comedy'
CSNY/DÌ©jÌÊ Vu (2008)	'Documentary'
The Magic of Ordinary Days (2005)	'Drama'
Right on Track (2003)	'Biography', 'Drama', 'Family'
Deep Impact (1998)	'Action', 'Drama', 'Romance'
An Affair of Love (1999)	'Drama', 'Romance'
Father of Invention (2010)	'Comedy', 'Drama'
The Dreamers (2003)	'Drama', 'Romance'
Milk Money (1994)	'Comedy', 'Romance'
Ritual (2002)	'Horror'
Lies (1999)	'Drama'
The Italian Key (2011)	'Comedy', 'Drama', 'Romance'
My Name Is Emily (2015)	'Drama'
X: Past Is Present (2015)	'Drama', 'Mystery', 'Romance'
Excess Baggage (1997)	'Action', 'Comedy', 'Crime'
Biteu (1997)	'Action', 'Crime', 'Drama'
Carnival of Souls (1998)	'Drama', 'Horror', 'Mystery'
Gypo (2005)	'Drama', 'Family'
The Slingshot (1993)	'Drama'
See Spot Run (2001)	'Action', 'Comedy', 'Crime'
Come Dio comanda (2008)	'Drama'
Martha Marcy May Marlene (2011)	'Drama', 'Mystery', 'Thriller'
Accepted (2006)	'Comedy'
2 + 2 (2012)	'Comedy'
The Poet (2007)	'Drama'
Un cartus de kent si un pachet de cafea (2004)	
Gente di Roma (2003)	'Comedy'
The Girl from Monday (2005)	'Action', 'Comedy', 'Sci-Fi'
The Monster (1994)	'Comedy', 'Crime', 'Mystery'
Kung Fu Panda (2008)	'Animation', 'Action', 'Adventure'
Gia panta (2014)	'Drama'
The Hitman (1991)	'Action', 'Crime', 'Thriller'
Divorce Corp (2014)	'Documentary', 'Drama'
Encounter in the Third Dimension (1999)	'Adventure', 'Comedy'
From Dad to Son (2012)	'Animation', 'Drama'
American Gun (2002)	'Drama'
Love on the Side (2004)	'Comedy', 'Romance'
Toolbox Murders (2004)	'Horror', 'Mystery', 'Thriller'
The Rookie (1990)	'Action', 'Comedy', 'Crime'
Snow White (2005)	'Drama'
All Cheerleaders Die (2013)	'Fantasy', 'Horror'
Sukiyaki Western Django (2007)	'Action'
Sint (2010)	'Horror'
Guilty Hearts (2006)	'Drama'
Mr. Woodcock (2007)	'Comedy', 'Romance'
Kim Bok-nam salinsageonui jeonmal (2010)	'Crime', 'Drama', 'Horror'
At the Death House Door (2008)	'Documentary'
One Week (2008)	'Adventure', 'Drama'
Fiza (2000)	'Drama', 'Romance'
Cronicas (2004)	'Crime', 'Drama', 'Thriller'
Infernal Affairs (2002)	'Crime', 'Drama', 'Mystery'
Kizumonogatari: I Tekketsu-hen (2016)	'Animation', 'Action', 'Comedy'
Joker Game (2015)	'Thriller'
Sarkar Raj (2008)	'Action', 'Crime', 'Drama'
GÌ´ med fred Jamil - Ma salama Jamil (2008)	'Action', 'Drama'
Justice League: The New Frontier (2008)	'Animation', 'Action', 'Adventure'
Man vs Snake: The Long and Twisted Tale of Nibbler (2015)	'Documentary'
Rafa (2012)	'Drama'
Freaks of Nature (2015)	'Comedy', 'Horror', 'Sci-Fi'
Ví©nus beautí© (institut) (1999)	'Comedy', 'Drama', 'Romance'
Gray's Anatomy (1996)	'Comedy', 'Drama'
Smitty (2012)	'Drama', 'Family'
The 'Socalled' Movie (2010)	'Documentary'
Not Fade Away (2012)	'Drama'
Aparecidos (2007)	'Horror'
Redistributors (2016)	'Thriller'
Beau travail (1999)	'Drama'
Beaufort (2007)	'Action', 'Drama'
Don't Think Twice (2016)	'Comedy', 'Drama'
The Assignment (1997)	'Action', 'Crime', 'Thriller'
New Waterford Girl (1999)	'Comedy'
SyvÌ_lle salattu (2011)	'Drama', 'Thriller'
The Dead Outside (2008)	'Horror', 'Mystery', 'Thriller'
The 50 Worst Movies Ever Made (2004)	'Documentary'
The Doctor (1991)	'Drama'
Stigmata (1999)	'Horror'
The Secret World of Lewis Carroll (2015)	'Documentary'
24 (2008)	'Action', 'Adventure', 'Crime'
Tom Dick & Harriet (2013)	'Comedy'
Anna (2013)	'Drama', 'Mystery', 'Thriller'
A Matador's Mistress (2008)	'Biography', 'Drama', 'Romance'
xXx (2002)	'Action', 'Adventure', 'Thriller'
Lo que sÌ© de Lola (2006)	'Romance'
Trade (2007)	'Crime', 'Drama', 'Thriller'
Mama's Boy (2007)	'Comedy', 'Drama'
Tower Heist (2011)	'Action', 'Comedy', 'Crime'
Vibrator (2003)	'Drama'
The Fighting Temptations (2003)	'Comedy', 'Drama'
The Greatest Movie Ever Sold (2011)	'Documentary', 'Comedy'
Tom and Jerry: Spy Quest (2015)	'Animation', 'Action', 'Adventure'
Kadosh (1999)	'Drama'
Samurai Ayothaya (2010)	'Action', 'Drama'
The Day Silence Died (1998)	'Comedy', 'Drama'
Yaadein... (2001)	'Drama', 'Romance'
The Thirst (2006)	'Horror'
The Borrowers (2011)	'Comedy', 'Family', 'Fantasy'
The Objective (2008)	'Horror', 'Sci-Fi', 'Thriller'
Le vilain (2009)	'Comedy'
Requiem (2006)	'Drama'
Head Over Heels (2012)	'Animation', 'Comedy'
Sniper: Ghost Shooter (2016)	'Action', 'Drama', 'Thriller'
Storm Rider (2013)	'Drama', 'Family'
Santa Baby 2: Christmas Maybe (2009)	'Comedy', 'Fantasy'
The Thomas Crown Affair (1999)	'Crime', 'Romance', 'Thriller'
AÌ±o bisiesto (2010)	'Drama', 'Romance'
Perestroika (2009)	'Drama'
Les poupí©es russes (2005)	'Comedy', 'Drama', 'Romance'
Cop Car (2015)	'Crime', 'Thriller'
Le monde selon Monsanto (2008)	'Documentary'
Dogma (1999)	'Adventure', 'Comedy', 'Drama'
Crimes of the Past (2009)	'Drama'
The Art of War II: Betrayal (2008)	'Action', 'Thriller'
The Remaining (2014)	'Horror', 'Thriller'
Le cas Pinochet (2001)	'Documentary'
The Seamstress (2009)	'Crime', 'Horror', 'Mystery'
The Business of Fancydancing (2002)	'Drama'
Dong-chang-saeng (2013)	'Action', 'Drama'
Revengers Tragedy (2002)	'Drama'
Fubar (2002)	'Comedy'
Hallway (2015)	'Drama', 'Fantasy'
Clara et moi (2004)	'Drama', 'Romance'
Ex-Girlfriends (2012)	'Comedy', 'Drama'
SPL: Sha po lang (2005)	'Action', 'Crime', 'Thriller'
Bekushiru: 2077 Nihon sakoku (2007)	'Animation', 'Action', 'Sci-Fi'
Freakonomics (2010)	'Documentary'
Hata GÌ¦teborg (2007)	'Comedy', 'Drama'
Kummeli kultakuume (1997)	'Comedy'
Ratchet (1996)	'Thriller'
ABCs of Death 2.5 (2016)	'Comedy', 'Horror'
Mushi-Shi: The Movie (2006)	'Fantasy'
Ace of Hearts (2008)	'Drama', 'Family'
Requiem for a Dream (2000)	'Drama'
La piel que habito (2011)	'Drama', 'Thriller'
De muze (2007)	'Drama'
Doll Graveyard (2005)	'Horror'
Idlewild (2006)	'Crime', 'Drama'
Pee-wee's Big Holiday (2016)	'Adventure', 'Comedy'
Hooking Up (2009)	'Comedy', 'Drama'
Cama adentro (2004)	'Drama'
Omagh (2004)	'Drama'
Con Air (1997)	'Action', 'Crime', 'Thriller'
Where the Trail Ends (2012)	'Documentary', 'Adventure', 'Drama'
Bread and Roses (2000)	'Drama'
100% Love (2011)	'Comedy', 'Drama', 'Romance'
Switch (1991)	'Comedy', 'Fantasy'
An Injury to One (2002)	'Documentary'
The Notebook (2004)	'Drama', 'Romance'
Fighter Pilot: Operation Red Flag (2004)	'Documentary'
Paws (1997)	'Adventure', 'Family', 'Fantasy'
Child's Play 3 (1991)	'Action', 'Horror', 'Thriller'
Augustine (2012)	'Drama'
Metro (1997)	'Action', 'Comedy', 'Crime'
Death of a President (2006)	'Crime', 'Drama', 'Mystery'
The Lost Prince (2003)	'Biography', 'Drama'
Destiny Turns on the Radio (1995)	'Crime', 'Comedy', 'Fantasy'
From A to B (2014)	'Adventure', 'Comedy', 'Drama'
Life in a Day (2011)	'Documentary', 'Drama'
Alvin and the Chipmunks: The Squeakquel (2009)	'Animation', 'Comedy', 'Family'
Monsters vs. Aliens (2009)	'Animation', 'Action', 'Adventure'
Jack of the Red Hearts (2015)	'Drama', 'Family'
Jerry and Tom (1998)	'Comedy', 'Crime', 'Drama'
Filmage: The Story of Descendents/All (2013)	'Documentary', 'Biography'
12 Dates of Christmas (2011)	'Comedy', 'Fantasy', 'Romance'
Be My Valentine (2013)	'Comedy', 'Family', 'Romance'
Bicho de Sete Cabeí_as (2000)	'Drama'
Raincoat (2004)	'Drama', 'Romance'
Bo Burnham: Words, Words, Words (2010)	'Comedy'
I Want You (1998)	'Crime', 'Drama'
Thin Ice (2011)	'Comedy', 'Crime', 'Drama'
Art & Copy (2009)	'Documentary'
Wildlike (2014)	'Adventure', 'Drama', 'Thriller'
King Leopold's Ghost (2006)	'Documentary'
Venice/Venice (1992)	'Drama'
Whatever Happened to Harold Smith? (1999)	'Comedy'
Shepard & Dark (2012)	'Documentary', 'Drama'
The Last Airbender (2010)	'Action', 'Adventure', 'Family'
The Agronomist (2003)	'Documentary', 'Biography'
Molly Moon and the Incredible Book of Hypnotism (2015)	'Adventure', 'Family'
Getting In (1994)	'Comedy', 'Romance', 'Thriller'
To Wong Foo Thanks for Everything, Julie Newmar (1995)	'Comedy', 'Drama'
Homegrown: The Counter-Terror Dilemma (2016)	'Documentary'
Noll tolerans (1999)	'Action', 'Crime', 'Thriller'
In the Shadows (2001)	'Drama', 'Thriller'
The September Issue (2009)	'Documentary'
Nine Lives (2016)	'Comedy', 'Family', 'Fantasy'
Hak bak jin cheung (2005)	'Crime', 'Drama'
Noel (2004)	'Drama'
Red Riding Hood (2006)	'Adventure', 'Family'
Big Eden (2000)	'Comedy', 'Drama', 'Romance'
Komediya strogogo rezhima (1992)	'Comedy'
Victoria (2015)	'Crime', 'Drama', 'Romance'
Manakamana (2013)	'Documentary'
The Wind That Shakes the Barley (2006)	'Drama'
Witch Hunt (1999)	'Drama', 'Crime'
Come il vento (2013)	'Biography', 'Crime', 'Drama'
Little England (2013)	'Drama', 'Romance'
Lavoura Arcaica (2001)	'Drama'
Ye yan (2006)	'Action', 'Drama', 'Fantasy'
Pawn's Move (2011)	'Drama', 'Family', 'Romance'
The Skeleton Twins (2014)	'Comedy', 'Drama', 'Romance'
The Road Within (2014)	'Comedy', 'Drama'
Ice Quake (2010)	'Action', 'Sci-Fi', 'Thriller'
A Spell to Ward Off the Darkness (2013)	'Documentary'
Les visiteurs (1993)	'Comedy', 'Fantasy'
Dust to Glory (2005)	'Documentary', 'Action', 'Adventure'
Maggie (2015)	'Drama', 'Horror'
El sol del membrillo (1992)	'Documentary', 'Biography', 'Drama'
Crimes of Fashion (2004)	'Comedy'
Saai sau kwong lung (2002)	'Action', 'Drama'
May I Kill U? (2012)	'Comedy', 'Horror', 'Thriller'
Stanley Kubrick's Boxes (2008)	'Documentary', 'Biography'
Goodbye to All That (2014)	'Comedy', 'Drama', 'Romance'
Ira & Abby (2006)	'Comedy', 'Romance'
Point Break (2015)	'Action', 'Crime'
Low Fidelity (2011)	'Drama'
Queen Margot (1994)	'Biography', 'Crime', 'Drama'
London After Midnight (2002)	'Drama', 'Horror'
Rosewood Lane (2011)	'Horror', 'Thriller'
The Offering (2016)	'Drama', 'Horror', 'Mystery'
Riot On! (2004)	'Documentary'
A Crack in the Floor (2001)	'Horror'
Magallanes (2015)	'Drama'
A Night in Old Mexico (2013)	'Adventure', 'Drama'
MÌ_nnerherzen (2009)	'Comedy'
First Daughter (2004)	'Comedy', 'Drama', 'Romance'
Au bonheur des ogres (2013)	'Comedy', 'Drama'
Driven (2001)	'Action', 'Drama'
Monster Brawl (2011)	'Action', 'Comedy', 'Horror'
The Devil's Ground (2009)	'Horror', 'Thriller'
Rab Ne Bana Di Jodi (2008)	'Comedy', 'Drama', 'Romance'
Pecados de mi padre (2009)	'Documentary'
Snijeg (2008)	'Drama'
The Invisible Frame (2009)	'Documentary'
Rise of the Footsoldier (2007)	'Biography', 'Crime', 'Drama'
The Games Maker (2014)	'Adventure', 'Family'
Burke and Hare (2010)	'Comedy', 'Thriller'
The War on Democracy (2007)	'Documentary'
Final Sale (2011)	'Crime', 'Drama', 'Thriller'
The Love Punch (2013)	'Comedy'
Retreat (2011)	'Thriller'
Im Spinnwebhaus (2015)	'Drama', 'Fantasy'
In Between Days (2006)	'Drama'
Death Machine (1994)	'Action', 'Horror', 'Sci-Fi'
Black by Accident (2011)	'Comedy'
Io sono l'amore (2009)	'Drama', 'Romance'
Ernest Goes to School (1994)	'Comedy', 'Family'
Patch Town (2014)	'Adventure', 'Comedy', 'Fantasy'
Thumbsucker (2005)	'Comedy', 'Drama'
Croczilla (2012)	'Action', 'Comedy', 'Horror'
Bong of the Dead (2011)	'Action', 'Comedy', 'Horror'
Superhero Movie (2008)	'Action', 'Comedy', 'Sci-Fi'
The Promotion (2008)	'Comedy'
Fair Game (2010)	'Biography', 'Drama', 'Thriller'
The Adventurer: The Curse of the Midas Box (2013)	'Adventure', 'Family', 'Fantasy'
The Rum Diary (2011)	'Comedy', 'Drama'
Spy Kids 3-D: Game Over (2003)	'Action', 'Adventure', 'Comedy'
Being Canadian (2015)	'Documentary', 'Comedy'
The Finest Hours (2016)	'Action', 'Drama'
The Knot (2012)	'Comedy', 'Romance'
Curse of the Wolf (2006)	'Action', 'Comedy', 'Horror'
My Sassy Girl (2001)	'Comedy', 'Drama', 'Romance'
Head Above Water (1996)	'Comedy', 'Thriller'
Adanggaman (2000)	'Drama'
Burning Blue (2013)	'Biography', 'Drama', 'Romance'
Paraiso Travel (2008)	'Drama'
Humanity's End (2008)	'Action', 'Sci-Fi'
Blue Mountain State: The Rise of Thadland (2016)	'Comedy'
The Angriest Man in Brooklyn (2014)	'Comedy', 'Drama'
OceanWorld 3D (2009)	'Documentary'
Happy Christmas (2014)	'Comedy', 'Drama'
Maverick (1994)	'Action', 'Adventure', 'Comedy'
The Last Deadly Mission (2008)	'Crime', 'Drama', 'Thriller'
Gen-X Cops 2: Metal Mayhem (2000)	'Action', 'Sci-Fi'
Air (2015)	'Drama', 'Sci-Fi', 'Thriller'
Mitt (2014)	'Documentary', 'Biography', 'Family'
Winnie the Pooh (2011)	'Animation', 'Adventure', 'Comedy'
Temple Grandin (2010)	'Biography', 'Drama'
The Strangers (2008)	'Horror', 'Mystery', 'Thriller'
Don McKay (2009)	'Drama', 'Mystery', 'Thriller'
We Were Once a Fairytale (2009)	
Art of the Prank (2015)	'Documentary', 'Biography', 'Comedy'
Trust (1990)	'Comedy', 'Drama'
Jack Brooks: Monster Slayer (2007)	'Action', 'Comedy', 'Horror'
Cheung wong chi wong (2010)	'Action', 'Thriller'
Find Love (2006)	'Romance'
San tiao ren (1999)	'Drama'
Space Dogs (2010)	'Animation', 'Adventure', 'Comedy'
The Chosen One (2010)	'Comedy', 'Drama'
Trekkies 2 (2004)	'Documentary'
GrÌ_nsen (2011)	'Action', 'Drama'
The Caveman's Valentine (2001)	'Crime', 'Drama'
Harry Potter and the Half-Blood Prince (2009)	'Adventure', 'Family', 'Fantasy'
Tapped Out (2014)	'Action', 'Drama'
A Hole in My Heart (2004)	'Drama'
Grumpy Cat's Worst Christmas Ever (2014)	'Adventure', 'Comedy'
The Face of Love (2013)	'Drama', 'Romance'
The House of Yes (1997)	'Comedy', 'Drama'
Open Season (2006)	'Animation', 'Adventure', 'Comedy'
A House in the Hills (1993)	'Romance', 'Thriller'
The Millionaire Tour (2012)	'Action', 'Thriller'
GÌ©raldine (2000)	'Animation', 'Comedy'
Out in the Dark (2012)	'Drama', 'Romance', 'Thriller'
Visual Acoustics (2008)	'Documentary'
De grínne slagtere (2003)	'Comedy', 'Drama'
Countdown (2016)	'Action', 'Crime', 'Mystery'
Judgment Night (1993)	'Action', 'Crime', 'Drama'
Tore tanzt (2013)	'Crime', 'Drama', 'Thriller'
Pokí©mon 4Ever (2001)	'Animation', 'Action', 'Adventure'
Gamer (2009)	'Action', 'Sci-Fi', 'Thriller'
Godzilla 2000 (1999)	'Action', 'Adventure', 'Drama'
The Pilot's Wife (2002)	'Drama'
Mulholland Falls (1996)	'Crime', 'Drama', 'Mystery'
Habemus Papam (2011)	'Comedy', 'Drama'
Bogus (1996)	'Comedy', 'Family', 'Fantasy'
Holidays (2016)	'Horror'
Jesus' Son (1999)	'Drama'
The Great Gatsby (2013)	'Drama', 'Romance'
Tales from the Darkside: The Movie (1990)	'Comedy', 'Fantasy', 'Horror'
Braindead (1992)	'Comedy', 'Horror'
Cinema Komunisto (2010)	'Documentary'
The Void (2001)	'Sci-Fi', 'Thriller'
A Fork in the Road (2009)	'Comedy', 'Crime'
Ghostheads (2016)	'Documentary'
Cinderella Man (2005)	'Biography', 'Drama'
The Identical (2014)	'Drama'
Nordvest (2013)	'Action', 'Crime', 'Drama'
Yonkers Joe (2008)	'Drama'
Prince of Central Park (2000)	'Action', 'Adventure', 'Drama'
Unknown White Male (2005)	'Documentary', 'Biography'
Viva LaldjÌ©rie (2004)	'Drama'
127 Hours (2010)	'Adventure', 'Biography', 'Drama'
Sky Blue (2003)	'Action', 'Fantasy', 'Animation'
Shor in the City (2010)	'Crime', 'Drama'
Backbeat (1994)	'Biography', 'Drama'
Last Knights (2015)	'Action', 'Adventure'
Lawrence & Holloman (2013)	'Comedy', 'Drama'
Land Ho! (2014)	'Adventure', 'Comedy'
College Road Trip (2008)	'Adventure', 'Comedy', 'Drama'
Bloodline (2010)	'Horror'
Who Killed Chea Vichea? (2011)	'Documentary'
A Killer Among Us (2012)	'Crime', 'Thriller'
Ren xiao yao (2002)	'Comedy', 'Drama'
Zombadings 1: Patayin sa shokot si Remington (2011)	'Comedy', 'Horror', 'Romance'
Remember Me, My Love (2003)	'Comedy', 'Romance', 'Drama'
Tini nezabutykh predkiv. Tayemnytsi molfara (2013)	'Adventure', 'Fantasy', 'Mystery'
Next Goal Wins (2014)	'Documentary'
Just Ask My Children (2001)	'Drama'
Evil Toons (1992)	'Animation', 'Comedy', 'Horror'
Jamí_n, Jamí_n (1992)	'Comedy', 'Drama', 'Romance'
Affinity (2008)	'Drama', 'Romance'
Running the Sahara (2007)	'Documentary'
Love's Enduring Promise (2004)	'Drama', 'Family'
Slither (2006)	'Comedy', 'Horror', 'Sci-Fi'
Kukkulan kuningas (2009)	'Crime', 'Drama'
Cemetery of Splendor (2015)	'Drama', 'Fantasy'
Tren de sombras (1997)	'Drama'
Drillbit Taylor (2008)	'Comedy', 'Drama'
The Ref (1994)	'Comedy', 'Crime', 'Drama'
The Heart Machine (2014)	'Drama', 'Thriller'
The Girl Who Played with Fire (2009)	'Crime', 'Drama', 'Mystery'
Bamako (2006)	'Drama'
íó la mode (1993)	'Comedy'
Grantham & Rose (2014)	'Comedy', 'Drama', 'Family'
Faust (1994)	'Animation', 'Comedy', 'Drama'
Johnny Was (2006)	'Action', 'Crime', 'Drama'
Unrelated (2007)	'Drama'
Beauty and the Beast: The Enchanted Christmas (1997)	'Animation', 'Family', 'Fantasy'
Something Ventured (2011)	'Documentary', 'Biography'
Skins (2002)	'Crime', 'Drama'
In Search of Mozart (2006)	'Documentary'
The Amazing Spider-Man (2012)	'Action', 'Adventure'
Murder of a Cat (2014)	'Comedy', 'Crime', 'Mystery'
Kami no tsuki (2014)	'Drama'
Broken Blade: Scars from an Assassin's Blade (2010)	'Animation', 'Action', 'Drama'
Spirit Trap (2005)	'Horror', 'Thriller'
Boulevard (2014)	'Drama'
The Other Side of the Bed (2002)	'Comedy', 'Drama'
The Expedition (2008)	'Horror'
Gold Diggers: The Secret of Bear Mountain (1995)	'Adventure', 'Drama', 'Family'
From Within (2008)	'Horror', 'Mystery', 'Thriller'
Noite Escura (2004)	'Drama', 'Crime'
Bare Bea (2004)	'Drama'
Deep Crimson (1996)	'Crime', 'Drama', 'Romance'
Dzien kobiet (2012)	'Drama'
Mirch (2010)	'Comedy', 'Drama', 'Fantasy'
Island (2011)	'Drama'
Tin sun yut dui (2006)	'Comedy', 'Drama'
Bi-mong (2008)	'Drama', 'Fantasy', 'Mystery'
Obsessed (1992)	'Drama', 'Thriller'
Housefull 2 (2012)	'Action', 'Comedy', 'Romance'
Kulman pojat (2012)	'Comedy', 'Romance'
Martial Law (1990)	'Action', 'Crime'
La femme qui boit (2001)	'Drama', 'Romance'
Shark Attack 2 (2000)	'Horror', 'Thriller'
Bo (2010)	'Drama'
Tim and Eric's Billion Dollar Movie (2012)	'Comedy'
The Merchant of Venice (2004)	'Drama', 'Romance'
The Wedding Video (2012)	'Comedy'
Lazer Team (2015)	'Action', 'Comedy', 'Sci-Fi'
Spin the Bottle (2000)	'Comedy', 'Drama', 'Romance'
Gluckauf (2015)	'Crime', 'Drama'
Frozen River (2008)	'Crime', 'Drama'
Drevo (2014)	'Drama'
The Giver (2014)	'Drama', 'Romance', 'Sci-Fi'
Druid Peak (2014)	'Drama'
That Girl in Yellow Boots (2010)	'Crime', 'Drama', 'Mystery'
Hancock (2008)	'Action', 'Crime', 'Drama'
Kis Uykusu (2014)	'Drama'
Spy Kids 2: Island of Lost Dreams (2002)	'Action', 'Adventure', 'Comedy'
God Help the Girl (2014)	'Drama', 'Romance'
Easier with Practice (2009)	'Drama', 'Romance'
Elokuu (2011)	'Drama'
Jean-Philippe (2006)	'Comedy', 'Fantasy'
Dresden (2006)	'Drama', 'Romance'
Star Maps (1997)	'Comedy', 'Drama'
Toro (2016)	'Crime', 'Drama', 'Thriller'
Soloalbum (2003)	'Comedy', 'Romance'
The Dark Hours (2005)	'Horror', 'Thriller'
Lust, Caution (2007)	'Drama', 'Romance', 'Thriller'
Folk Hero & Funny Guy (2016)	'Comedy'
BÌülgen (2015)	'Action', 'Drama', 'Thriller'
Elavad pildid (2013)	'Comedy', 'Drama', 'Romance'
Silent Ones (2013)	'Drama', 'Mystery', 'Thriller'
Black Sheep (2006)	'Comedy', 'Horror', 'Sci-Fi'
Ironclad: Battle for Blood (2014)	'Action', 'Adventure'
Quiet City (2007)	'Drama'
ZMD: Zombies of Mass Destruction (2009)	'Comedy', 'Horror', 'Sci-Fi'
Cremaster 5 (1997)	'Drama'
The Conspirator (2010)	'Crime', 'Drama'
Vanishing Pearls: The Oystermen of Pointe a la Hache (2014)	'Documentary', 'Biography'
Licks (2013)	'Drama'
Neighboring Sounds (2012)	'Drama', 'Thriller'
Little Men (1998)	'Drama'
Son of the Pink Panther (1993)	'Comedy', 'Crime'
Three Miles North of Molkom (2008)	'Documentary'
Leprechaun: Origins (2014)	'Fantasy', 'Horror'
Ninjas vs. Zombies (2008)	'Action', 'Comedy', 'Fantasy'
Koch (2012)	'Documentary', 'Biography'
Snow Dogs (2002)	'Adventure', 'Comedy', 'Family'
Somewhere Between (2011)	'Documentary'
80 Minutes (2008)	'Action', 'Crime', 'Thriller'
Il figlio piÌ_ piccolo (2010)	'Comedy', 'Drama'
Tick Tock Tale (2010)	'Animation', 'Adventure'
Lars and the Real Girl (2007)	'Comedy', 'Drama', 'Romance'
La jalousie (2013)	'Drama'
Red Riding: The Year of Our Lord 1983 (2009)	'Crime', 'Drama', 'Mystery'
Howard Zinn: You Can't Be Neutral on a Moving Train (2004)	'Documentary'
