Title	Genre
Vampire in Brooklyn (1995)	'Comedy', 'Fantasy', 'Horror'
Resistance (2015)	'Documentary'
Come See the Paradise (1990)	'Drama', 'Romance'
Manhunt: The Inside Story of the Hunt for Bin Laden (2013)	'Documentary'
Vamp U (2011)	'Action', 'Comedy', 'Horror'
Kill List (2011)	'Crime', 'Drama', 'Horror'
Bazodee (2016)	'Drama', 'Romance'
The Righteous Thief (2009)	'Action', 'Adventure', 'Crime'
Twinsters (2015)	'Documentary', 'Biography', 'Family'
The String (2009)	'Drama', 'Romance'
The Human Scale (2012)	'Documentary'
The Babymakers (2012)	'Comedy'
Mo jong yuen So Hat-Yi (1992)	'Action', 'Comedy', 'Drama'
Shanghai Knights (2003)	'Action', 'Adventure', 'Comedy'
TurnÌ© (1990)	'Comedy', 'Drama'
The Mask (1994)	'Comedy', 'Family', 'Fantasy'
The Ventriloquist (2012)	'Comedy', 'Drama'
Dolfje Weerwolfje (2011)	'Family'
Millhaven (2010)	'Animation'
Brother Bear 2 (2006)	'Animation', 'Adventure', 'Comedy'
That Sugar Film (2014)	'Documentary'
And Now a Word from Our Sponsor (2013)	'Comedy', 'Drama'
The Boxtrolls (2014)	'Animation', 'Adventure', 'Comedy'
Diggstown (1992)	'Drama'
Another Happy Day (2011)	'Comedy', 'Drama'
Elsk meg i morgen (2005)	'Comedy', 'Drama', 'Romance'
Pente lepta akoma (2006)	'Comedy', 'Drama', 'Fantasy'
The Match Factory Girl (1990)	'Drama', 'Comedy'
White Fang 2: Myth of the White Wolf (1994)	'Adventure', 'Family'
Sommersturm (2004)	'Comedy', 'Drama', 'Romance'
Vostochnaya elegiya (1996)	'Drama'
En kort en lang (2001)	'Comedy', 'Romance', 'Drama'
The Demented (2013)	'Horror'
Fetching Cody (2005)	'Drama', 'Fantasy', 'Romance'
Avis de mistral (2014)	'Drama', 'Romance'
Robot Chicken: Star Wars (2007)	'Animation', 'Comedy'
Da cha fan (2014)	'Comedy', 'Crime', 'Romance'
Nadie hablaríç de nosotras cuando hayamos muerto (1995)	'Drama'
The President (2014)	'Drama'
The Run of the Country (1995)	'Drama', 'Romance'
A Perfect Day (2015)	'Comedy', 'Drama'
Wet Hot American Summer (2001)	'Comedy', 'Romance'
Haemoo (2014)	'Drama'
Homeless to Harvard: The Liz Murray Story (2003)	'Biography', 'Drama'
Flower Girl (2009)	'Romance'
Aakrosh (2010)	'Action', 'Crime', 'Drama'
Everybody Has a Plan (2012)	'Crime', 'Drama', 'Thriller'
The Chatroom (2002)	'Comedy'
Boogie Man: The Lee Atwater Story (2008)	'Documentary', 'Biography'
Azzurro (2000)	'Drama'
The Boxer (2009)	'Action', 'Drama'
The Hills Have Eyes II (2007)	'Action', 'Horror', 'Thriller'
Life After People (2008)	'Documentary', 'Sci-Fi'
A Star for Christmas (2012)	'Comedy', 'Drama', 'Romance'
Four Warriors (2015)	'Adventure'
The Client (1994)	'Crime', 'Drama', 'Mystery'
The Bonesetter (2003)	'Horror', 'Thriller'
Wings of Courage (1995)	'Adventure', 'Romance'
Breaking and Entering (2010)	'Documentary', 'Comedy'
On a marchÌ© sur Bangkok (2014)	'Comedy'
In the Land of Women (2007)	'Comedy', 'Drama', 'Romance'
Stop at Nothing: The Lance Armstrong Story (2014)	'Documentary', 'Biography'
La petite Lili (2003)	'Drama', 'Romance'
Full Tilt Boogie (1997)	'Documentary'
Calvaire (2004)	'Horror'
Oldeuboi (2003)	'Drama', 'Mystery', 'Thriller'
House of the Rising Sun (2011)	'Action', 'Crime', 'Drama'
Little Hope Was Arson (2013)	'Documentary', 'Crime', 'Drama'
Hana to hebi (2004)	'Drama', 'Thriller'
Bayaning 3rd World (2000)	'Drama'
The Movie Out Here (2012)	'Comedy'
